Leitura,Data 
2.104,2018-11-14 12:07:44
2.114,2018-11-14 12:07:48
1.987,2018-11-14 12:07:53
1.973,2018-11-14 12:07:58
2.09,2018-11-14 12:08:03
2.129,2018-11-14 12:08:07
2.188,2018-11-14 12:08:12
2.231,2018-11-14 12:08:17
2.261,2018-11-14 12:08:22
2.271,2018-11-14 12:08:26
2.285,2018-11-14 12:08:31
2.295,2018-11-14 12:08:36
2.305,2018-11-14 12:08:40
2.295,2018-11-14 12:08:45
2.314,2018-11-14 12:08:50
2.329,2018-11-14 12:08:55
2.334,2018-11-14 12:08:59
2.344,2018-11-14 12:09:04
2.349,2018-11-14 12:09:09
2.349,2018-11-14 12:09:13
2.349,2018-11-14 12:09:18
2.354,2018-11-14 12:09:23
2.358,2018-11-14 12:09:28
2.349,2018-11-14 12:09:32
2.363,2018-11-14 12:09:37
2.363,2018-11-14 12:09:42
2.363,2018-11-14 12:09:47
2.368,2018-11-14 12:09:51
2.368,2018-11-14 12:09:56
2.368,2018-11-14 12:10:01
2.368,2018-11-14 12:10:05
2.368,2018-11-14 12:10:10
2.378,2018-11-14 12:10:15
2.373,2018-11-14 12:10:20
2.368,2018-11-14 12:10:24
2.373,2018-11-14 12:10:29
2.378,2018-11-14 12:10:34
2.373,2018-11-14 12:10:38
2.363,2018-11-14 12:10:43
2.368,2018-11-14 12:10:48
2.368,2018-11-14 12:10:53
2.368,2018-11-14 12:10:57
2.368,2018-11-14 12:11:02
2.368,2018-11-14 12:11:07
2.373,2018-11-14 12:11:12
2.363,2018-11-14 12:11:16
2.363,2018-11-14 12:11:21
2.358,2018-11-14 12:11:26
2.358,2018-11-14 12:11:30
2.349,2018-11-14 12:11:35
2.349,2018-11-14 12:11:40
2.354,2018-11-14 12:11:45
2.349,2018-11-14 12:11:49
2.344,2018-11-14 12:11:54
2.344,2018-11-14 12:11:59
2.334,2018-11-14 12:12:03
2.334,2018-11-14 12:12:08
2.329,2018-11-14 12:12:13
2.324,2018-11-14 12:12:18
2.324,2018-11-14 12:12:22
2.339,2018-11-14 12:12:27
2.329,2018-11-14 12:12:32
2.339,2018-11-14 12:12:36
2.344,2018-11-14 12:12:41
2.339,2018-11-14 12:12:46
2.319,2018-11-14 12:12:51
2.319,2018-11-14 12:12:55
2.329,2018-11-14 12:13:00
2.354,2018-11-14 12:13:05
2.358,2018-11-14 12:13:10
2.349,2018-11-14 12:13:14
2.363,2018-11-14 12:13:19
2.363,2018-11-14 12:13:24
2.363,2018-11-14 12:13:28
2.363,2018-11-14 12:13:33
2.363,2018-11-14 12:13:38
2.368,2018-11-14 12:13:43
2.373,2018-11-14 12:13:47
2.373,2018-11-14 12:13:52
2.373,2018-11-14 12:13:57
2.368,2018-11-14 12:14:01
2.368,2018-11-14 12:14:06
2.378,2018-11-14 12:14:11
2.368,2018-11-14 12:14:16
2.378,2018-11-14 12:14:20
2.363,2018-11-14 12:14:25
2.378,2018-11-14 12:14:30
2.368,2018-11-14 12:14:35
2.368,2018-11-14 12:14:39
2.368,2018-11-14 12:14:44
2.368,2018-11-14 12:14:49
2.373,2018-11-14 12:14:53
2.363,2018-11-14 12:14:58
2.363,2018-11-14 12:15:03
2.363,2018-11-14 12:15:08
2.363,2018-11-14 12:15:12
2.363,2018-11-14 12:15:17
2.368,2018-11-14 12:15:22
2.373,2018-11-14 12:15:26
2.378,2018-11-14 12:15:31
2.378,2018-11-14 12:15:36
2.383,2018-11-14 12:15:41
2.393,2018-11-14 12:15:45
2.397,2018-11-14 12:15:50
2.407,2018-11-14 12:15:55
2.407,2018-11-14 12:16:00
