Leitura,Data
0.933,2018-11-14 12:05:32
0.928,2018-11-14 12:05:36
0.903,2018-11-14 12:05:41
0.854,2018-11-14 12:05:46
0.869,2018-11-14 12:05:51
0.918,2018-11-14 12:05:55
0.928,2018-11-14 12:06:00
0.918,2018-11-14 12:06:05
0.908,2018-11-14 12:06:10
0.898,2018-11-14 12:06:14
0.854,2018-11-14 12:06:19
0.728,2018-11-14 12:06:24
0.693,2018-11-14 12:06:28
0.781,2018-11-14 12:06:33
0.767,2018-11-14 12:06:38
0.771,2018-11-14 12:06:43
0.806,2018-11-14 12:06:47
0.845,2018-11-14 12:06:52
0.884,2018-11-14 12:06:57
0.894,2018-11-14 12:07:01
0.903,2018-11-14 12:07:06
0.903,2018-11-14 12:07:11
0.903,2018-11-14 12:07:16
0.928,2018-11-14 12:07:20
0.918,2018-11-14 12:07:25
0.913,2018-11-14 12:07:30
0.903,2018-11-14 12:07:35
0.884,2018-11-14 12:07:39
0.854,2018-11-14 12:07:44
0.859,2018-11-14 12:07:49
0.781,2018-11-14 12:07:53
0.796,2018-11-14 12:07:58
0.845,2018-11-14 12:08:03
0.864,2018-11-14 12:08:08
0.903,2018-11-14 12:08:12
0.933,2018-11-14 12:08:17
0.942,2018-11-14 12:08:22
0.947,2018-11-14 12:08:26
0.967,2018-11-14 12:08:31
0.957,2018-11-14 12:08:36
0.967,2018-11-14 12:08:41
0.962,2018-11-14 12:08:45
0.977,2018-11-14 12:08:50
0.981,2018-11-14 12:08:55
0.991,2018-11-14 12:09:00
0.991,2018-11-14 12:09:04
0.981,2018-11-14 12:09:09
0.996,2018-11-14 12:09:14
1.001,2018-11-14 12:09:18
0.981,2018-11-14 12:09:23
1.001,2018-11-14 12:09:28
0.996,2018-11-14 12:09:33
0.996,2018-11-14 12:09:37
1.006,2018-11-14 12:09:42
1.006,2018-11-14 12:09:47
1.006,2018-11-14 12:09:51
1.006,2018-11-14 12:09:56
1.006,2018-11-14 12:10:01
1.011,2018-11-14 12:10:06
1.011,2018-11-14 12:10:10
1.016,2018-11-14 12:10:15
1.016,2018-11-14 12:10:20
1.016,2018-11-14 12:10:24
1.011,2018-11-14 12:10:29
1.016,2018-11-14 12:10:34
1.021,2018-11-14 12:10:39
1.021,2018-11-14 12:10:43
1.016,2018-11-14 12:10:48
1.016,2018-11-14 12:10:53
1.011,2018-11-14 12:10:58
1.011,2018-11-14 12:11:02
1.006,2018-11-14 12:11:07
1.011,2018-11-14 12:11:12
1.001,2018-11-14 12:11:16
1.001,2018-11-14 12:11:21
1.001,2018-11-14 12:11:26
1.011,2018-11-14 12:11:31
1.001,2018-11-14 12:11:35
1.001,2018-11-14 12:11:40
0.996,2018-11-14 12:11:45
0.996,2018-11-14 12:11:49
0.996,2018-11-14 12:11:54
0.991,2018-11-14 12:11:59
0.986,2018-11-14 12:12:04
1.006,2018-11-14 12:12:08
0.981,2018-11-14 12:12:13
0.981,2018-11-14 12:12:18
0.981,2018-11-14 12:12:23
0.981,2018-11-14 12:12:27
0.991,2018-11-14 12:12:32
0.986,2018-11-14 12:12:37
0.996,2018-11-14 12:12:41
0.986,2018-11-14 12:12:46
0.991,2018-11-14 12:12:51
0.986,2018-11-14 12:12:56
0.996,2018-11-14 12:13:00
1.001,2018-11-14 12:13:05
1.001,2018-11-14 12:13:10
1.001,2018-11-14 12:13:14
1.006,2018-11-14 12:13:19
1.001,2018-11-14 12:13:24
1.011,2018-11-14 12:13:29
1.011,2018-11-14 12:13:33
1.011,2018-11-14 12:13:38
1.011,2018-11-14 12:13:43
1.025,2018-11-14 12:13:48
1.016,2018-11-14 12:13:52
1.011,2018-11-14 12:13:57
1.006,2018-11-14 12:14:02
1.011,2018-11-14 12:14:06
1.016,2018-11-14 12:14:11
1.011,2018-11-14 12:14:16
1.021,2018-11-14 12:14:21
1.011,2018-11-14 12:14:25
1.006,2018-11-14 12:14:30
1.011,2018-11-14 12:14:35
1.006,2018-11-14 12:14:39
1.006,2018-11-14 12:14:44
1.011,2018-11-14 12:14:49
1.006,2018-11-14 12:14:54
1.006,2018-11-14 12:14:58
1.006,2018-11-14 12:15:03
1.006,2018-11-14 12:15:08
1.001,2018-11-14 12:15:12
1.006,2018-11-14 12:15:17
1.006,2018-11-14 12:15:22
1.016,2018-11-14 12:15:27
1.006,2018-11-14 12:15:31
1.011,2018-11-14 12:15:36
1.016,2018-11-14 12:15:41
1.025,2018-11-14 12:15:46
1.025,2018-11-14 12:15:50
1.025,2018-11-14 12:15:55
1.03,2018-11-14 12:16:00
